No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,bolge,lat,lon,radius
2_1_2,Ankara Valiliği,"39.926691, 32.856196",1039/14,"Mithatpaşa Cad., No:1, Çankaya, Ankara",Devlet Dairesi,3.0,Tescilli olmaması garip ??,1926-27,Theodor Jost,,,Erken Cumhuriyet Dönemi yapısı,2,39.926691,32.856196,4.8
2_1_3,,"39.927375, 32.856483",1037/3,"Sağlık 1. Sok., No:1, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,4.0,Değil,,,,,,2,39.927375,32.856483,6.066666666666666
2_1_4,,"39.927272, 32.856654",1037/2,"Sağlık 1. Sok., No:3, Fidanlık Mah., Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,2,39.927272,32.856654,8.6
2_1_5,,"39.927092, 32.856807",1037/1,"Sağlık 1. Sok., No:5B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.927092,32.856807,7.333333333333333
2_1_6,,"39.926158, 32.856600",1039/14,"Mithatpaşa Cad., No:3B, Çankaya, Ankara",Yıkılmış mı?,7.0,Değil,,,,,,2,39.926158,32.8566,9.866666666666667
2_1_7,Sosyal Güvenlik Kurumu,"39.925799, 32.856070",1039/13,"Mithatpaşa Cad., No:7/7, Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,2,39.925799,32.85607,8.6
2_1_8,Sosyal Güvenlik Kurumu,"39.925722, 32.856951",1039/15,"Süleyman Sırrı Cad., No:5, Sağlık Mah., Çankaya, Ankara",Devlet Dairesi,10.0,Değil,,,,,,2,39.925722,32.856951,13.666666666666666
2_1_9,,"39.926960, 32.857175",1038/9,"Sağlık 1. Sok., No:7, Fidanlık Mah., Çankaya, Ankara",Otel,6.0,Değil,,,,,,2,39.92696,32.857175,8.6
2_1_10,,"39.926732, 32.857175",1038/18,"Sağlık 1. Sok., No:9B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.926732,32.857175,8.6
2_1_11,,"39.926670, 32.857265",1038/17,"Sağlık 1. Sok., No:11, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.92667,32.857265,8.6
2_1_12,,"39.926642, 32.857310",1038/7,"Sağlık 1. Sok., No:13A, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.926642,32.85731,8.6
2_1_13,Grand Dora Otel?,"39.926469, 32.857561",1038/5,"Sağlık 1. Sok., No:17A, Fidanlık Mah., Çankaya, Ankara",Otel,6.0,Değil,,,,,,2,39.926469,32.857561,8.6
2_1_14,,"39.926380, 32.857696",1038/4,"Sağlık 1. Sok., No:19A, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.92638,32.857696,8.6
2_1_15,,"39.926345, 32.857876",1038/3,"Sağlık 1. Sok., No:21B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.926345,32.857876,8.6
2_1_16,,"39.926214, 32.857948",1038/20,"Sağlık 1. Sok., No:23, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.926214,32.857948,8.6
2_1_17,,"39.926421, 32.858271",1038/19,"Süleyman Sırrı Cad., No:19C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.926421,32.858271,7.333333333333333
2_1_18,,"39.927175, 32.857292",1038/21,"Marmara Sok., No:4D, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.927175,32.857292,8.6
2_1_19,,"39.927189, 32.857615",1038/11,"Marmara Sok., No:6A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.927189,32.857615,8.6
2_1_20,,"39.927140, 32.857732",1038/12,"Marmara Sok., No:8B, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.92714,32.857732,8.6
2_1_21,,"39.927057, 32.857921",1038/22,"Marmara Sok., No:10, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.927057,32.857921,7.333333333333333
2_1_22,,"39.927016, 32.858011",Yıkılmış mı?,"Marmara Sok., No:12A, Sağlık Mah., Çankaya, Ankara",Yıkılmış mı?,6.0,Değil,,,,,,2,39.927016,32.858011,8.6
2_1_23,,"39.926954, 32.858163",1038/15,"Marmara Sok., No:12C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.926954,32.858163,7.333333333333333
2_1_24,,"39.926898, 32.858343",1038/16,"Marmara Sok., No:16-18B, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.926898,32.858343,8.6
2_1_25,,"39.926822, 32.858523",1038/1,"Marmara Sok., No:21C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.926822,32.858523,8.6
2_1_27,,"39.926822, 32.858523",1034/38,"Marmara Sok., No:21C, Sağlık Mah., Çankaya, Ankara",Ticaret,8.0,Değil,,,,,,2,39.926822,32.858523,11.133333333333333
2_1_28,,"39.927825, 32.857813",1034/54,"Aksu Cad., No:3C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.927825,32.857813,9.866666666666667
2_1_29,,"39.927853, 32.858100",1034/53,"Aksu Cad., No:5C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.927853,32.8581,8.6
2_1_30,,"39.927694, 32.858091",1034/52,"Aksu Cad., No:7A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.927694,32.858091,7.333333333333333
2_1_31,,"39.927797, 32.858478",1034/51,"Aksu Cad., No:9C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.927797,32.858478,7.333333333333333
2_1_32,,"39.927548, 32.858523",1034/50,"Aksu Cad., No:11A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.927548,32.858523,8.6
2_1_33,,"39.927486, 32.858675",1034/49,"Aksu Cad., No:13A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.927486,32.858675,7.333333333333333
2_1_34,Ankara Büyükşehir Belediyesi Çocuk Meclisi,"39.927472, 32.858999",1034/48,"Adnan Saygun Cad., No:12, Sağlık Mah., Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,2,39.927472,32.858999,8.6
2_1_35,,"39.928275, 32.858630",1034/42,"M. Rauf İnan Sok., No:3C, Sağlık Mah., Çankaya, Ankara",Ticaret,3.0,Değil,,,,,,2,39.928275,32.85863,4.8
2_1_36,,"39.927687, 32.859035",1034/47,"Adnan Saygun Cad., No:10, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.927687,32.859035,7.333333333333333
2_1_37,,"39.927873, 32.858936",1034/46,"Adnan Saygun Cad., No:8, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,4.0,Değil,,,,,,2,39.927873,32.858936,6.066666666666666
2_1_38,,"39.927991, 32.858936",1034/45,"Adnan Saygun Cad., No:6B, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,3.0,Değil,,,,,,2,39.927991,32.858936,4.8
2_1_39,,"39.928109, 32.858945",1034/44,"Adnan Saygun Cad., No:2/4, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,3.0,Değil,,,,,,2,39.928109,32.858945,4.8
2_2_1,,"39.924540, 32.857795",1043/16,"Ataç 1. Sok., No:4A, Çankaya, Ankara",Devlet Dairesi,2.0,,,,,,,2,39.92454,32.857795,3.533333333333333
2_2_2,,"39.925342, 32.857202",1043/18,"Süleyman Sırrı Cad., No:6, Sağlık Mah., Çankaya, Ankara",Devlet Dairesi,2.0,,,,,,,2,39.925342,32.857202,3.533333333333333
2_2_3,,"39.925494, 32.857427",1043/18,"Süleyman Sırrı Cad., No:8, Sağlık Mah., Çankaya, Ankara",Devlet Dairesi,2.0,,,,,,,2,39.925494,32.857427,3.533333333333333
2_2_4,,"39.924886, 32.858361",1042/2,"Ataç 1. Sok., No:15, Çankaya, Ankara",Konut,7.0,Değil,,,,,,2,39.924886,32.858361,9.866666666666667
2_2_5,,"39.925045, 32.858199",1042/3,"Ataç 1. Sok., No:13-15, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925045,32.858199,9.866666666666667
2_2_6,,"39.925086, 32.858145",1042/4,"Ataç 1. Sok., No:11, Çankaya, Ankara",Otel,8.0,Değil,,,,,,2,39.925086,32.858145,11.133333333333333
2_2_7,,"39.925218, 32.858190",1042/5,"Ataç 1. Sok., No:9, Çankaya, Ankara",Konut,4.0,Değil,,,,,,2,39.925218,32.85819,6.066666666666666
2_2_8,,"39.925370, 32.858055",1042/6,"Ataç 1. Sok., No:7, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.92537,32.858055,9.866666666666667
2_2_9,,"39.925508, 32.857804",1042/7,"Ataç 1. Sok., No:3A, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925508,32.857804,8.6
2_2_10,,"39.925508, 32.857804",1042/8,"Ataç 1. Sok., No:3A, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925508,32.857804,8.6
2_2_11,,"39.925736, 32.857723",1042/9,"Süleyman Sırrı Cad., No:10A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925736,32.857723,7.333333333333333
2_2_12,,"39.925072, 32.858648",1042/1,"Tuna Cad., No:25E, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925072,32.858648,7.333333333333333
2_2_13,,"39.925245, 32.858567",1042/16,"Sağlık 1. Sok., No:20B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925245,32.858567,8.6
2_2_14,,"39.925377, 32.858469",1042/15,"Sağlık 1. Sok., No:18, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925377,32.858469,8.6
2_2_15,,"39.925522, 32.858442",1042/17,"Sağlık 1. Sok., No:14/16, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925522,32.858442,8.6
2_2_16,,"39.925598, 32.858064",1042/12,"Sağlık 1. Sok., No:10/1, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925598,32.858064,7.333333333333333
2_2_17,,"39.925729, 32.858091",1042/11,"Sağlık 1. Sok., No:10, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925729,32.858091,8.6
2_2_18,,"39.925875, 32.857966",1042/10,"Süleyman Sırrı Cad., No:12, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925875,32.857966,7.333333333333333
2_3_1,,"39.925342, 32.859008",1041/2,"Tuna Cad., No:27B, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925342,32.859008,8.6
2_3_2,,"39.925577, 32.858792",1041/3,"Sağlık 1. Sok., No:33, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925577,32.858792,7.333333333333333
2_3_3,,"39.925577, 32.858792",1041/4,"Sağlık 1. Sok., No:33, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925577,32.858792,7.333333333333333
2_3_4,,"39.925633, 32.858594",1041/18,"Sağlık 1. Sok., No:31, Fidanlık Mah., Çankaya, Ankara",Otel,6.0,Değil,,,,,,2,39.925633,32.858594,8.6
2_3_5,,"39.925785, 32.858442",1041/7,"Sağlık 1. Sok., No:29, Fidanlık Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,2,39.925785,32.858442,8.6
2_3_6,,"39.925847, 32.858379",1041/8,"Sağlık 1. Sok., No:27, Fidanlık Mah., Çankaya, Ankara",Misafirhane,6.0,Değil,,,,,,2,39.925847,32.858379,8.6
2_3_7,,"39.926124, 32.858289",1041/9,"Süleyman Sırrı Cad., No:25A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,3.0,Değil,,,,,,2,39.926124,32.858289,4.8
2_3_8,,"39.925474, 32.859187",1041/1,"Halk Sok., No:16D, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925474,32.859187,9.866666666666667
2_3_9,,"39.925612, 32.859026",1041/16,"Halk Sok., No:14D, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925612,32.859026,7.333333333333333
2_3_10,,"39.925729, 32.858900",1041/15,"Halk Sok., No:12, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925729,32.8589,7.333333333333333
2_3_11,,"39.925868, 32.858900",1041/14,"Halk Sok., No:10C, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925868,32.8589,7.333333333333333
2_3_12,,"39.925916, 32.858720",1041/13,"Halk Sok., No:8, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925916,32.85872,7.333333333333333
2_3_13,,"39.926082, 32.858693",1041/17,"Halk Sok., No:4/6, Çankaya, Ankara",Konut,6.0,Değil,,,,,,2,39.926082,32.858693,8.6
2_3_14,,"39.926255, 32.858379",1041/10,"Süleyman Sırrı Cad., No:16, Sağlık Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.926255,32.858379,7.333333333333333
2_3_15,,"39.925667, 32.859448",1040/2,"Tuna Cad., No:31, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925667,32.859448,8.6
2_3_16,,"39.925868, 32.859232",1040/3,"Halk Sok., No:11, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.925868,32.859232,7.333333333333333
2_3_17,,"39.925937, 32.859062",1040/4,"Halk Sok., No:9, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925937,32.859062,9.866666666666667
2_3_18,,"39.925937, 32.859062",1040/5,"Halk Sok., No:9, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925937,32.859062,9.866666666666667
2_3_19,,"39.926048, 32.858963",1040/6,"Halk Sok., No:7, Çankaya, Ankara",Otel,6.0,Değil,,,,,,2,39.926048,32.858963,8.6
2_3_20,,"39.926200, 32.858909",1040/7,"Halk Sok., No:5, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.9262,32.858909,9.866666666666667
2_3_21,,"39.926227, 32.858846",1040/8,"Halk Sok., No:3C, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.926227,32.858846,7.333333333333333
2_3_22,,"39.926497, 32.858630",1040/9,"Süleyman Sırrı Cad., No:18A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.926497,32.85863,7.333333333333333
2_3_23,,"39.925854, 32.859654",1040/1,"Marmara Sok., No:34, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925854,32.859654,7.333333333333333
2_3_24,,"39.925971, 32.859529",1040/16,"Marmara Sok., No:32, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925971,32.859529,9.866666666666667
2_3_25,,"39.926082, 32.859394",1040/15,"Marmara Sok., No:30, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,2.0,Değil,,,,,,2,39.926082,32.859394,3.533333333333333
2_3_26,,"39.926207, 32.859304",1040/14,"Marmara Sok., No:28A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.926207,32.859304,9.866666666666667
2_3_27,,"39.926283, 32.859133",1040/17,"Marmara Sok., No:24C, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.926283,32.859133,7.333333333333333
2_3_28,,"39.926497, 32.858990",1040/11,"Marmara Sok., No:22B, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.926497,32.85899,9.866666666666667
2_3_29,,"39.926594, 32.858702",1040/10,"Süleyman Sırrı Cad., No:20A, Sağlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.926594,32.858702,7.333333333333333
2_4_1,,"39.923274, 32.858756",1053/2,"Adakale Sok., No:17/2, Çankaya, Ankara",Konut,3.0,31.1.1989/661,,,,,Dönem Yapısı,2,39.923274,32.858756,4.8
2_4_2,,"39.923599, 32.858235",1053/2,"Adakale Sok., No:15, Çankaya, Ankara",Konut,3.0,31.1.1989/661,,,,,Dönem Yapısı,2,39.923599,32.858235,4.8
2_4_3,,"39.924139, 32.858002",1053/2,"Tuna Cad., No:20, Çankaya, Ankara",Konut,3.0,31.1.1989/661,,,,,Dönem Yapısı,2,39.924139,32.858002,4.8
2_4_4,Türk Kızılay Genel Müdürlüğü,"39.923378, 32.859044",1053/1,"Ataç 1. Sok., No:32A, Çankaya, Ankara",Devlet Dairesi,7.0,Değil,,,,,,2,39.923378,32.859044,9.866666666666667
2_4_5,,"39.923585, 32.859142",1053/10,"Ataç 1. Sok., No:30D, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.923585,32.859142,8.6
2_4_6,,"39.923731, 32.858999",1053/9,"Ataç 1. Sok., No:28, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.923731,32.858999,7.333333333333333
2_4_7,,"39.923945, 32.858846",1053/8,"Ataç 1. Sok., No:26D, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.923945,32.858846,8.6
2_4_8,,"39.924222, 32.858603",1053/7,"Ataç 1. Sok., No:22, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924222,32.858603,7.333333333333333
2_4_9,,"39.924235, 32.858496",1053/6,"Ataç 1. Sok., No:20C, Çankaya, Ankara",Otel,5.0,Değil,,,,,,2,39.924235,32.858496,7.333333333333333
2_4_10,,"39.924367, 32.858496",1053/11,"Ataç 1. Sok., No:20B, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924367,32.858496,8.6
2_4_11,,"39.924484, 32.858262",1053/4,"Tuna Cad., No:24, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924484,32.858262,7.333333333333333
2_4_12,,"39.924291, 32.858154",1053/4,"Tuna Cad., No:22, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924291,32.858154,8.6
2_4_13,,"39.923433, 32.859672",1054/27,"Sakarya Cad., No:31, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.923433,32.859672,7.333333333333333
2_4_14,,"39.923599, 32.859349",1054/28,"Ataç 1. Sok., No:31, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.923599,32.859349,8.6
2_4_15,,"39.923834, 32.859358",1054/3,"Ataç 1. Sok., No:29D, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.923834,32.859358,7.333333333333333
2_4_16,,"39.923938, 32.859071",1054/4,"Ataç 1. Sok., No:27, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.923938,32.859071,7.333333333333333
2_4_17,,"39.924097, 32.859115",1054/5,"Ataç 1. Sok., No:25A/A, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924097,32.859115,7.333333333333333
2_4_18,,"39.924256, 32.859044",1054/4,"Ataç 1. Sok., No:25A, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924256,32.859044,7.333333333333333
2_4_19,,"39.924249, 32.858927",1054/7,"Ataç 1. Sok., No:23A, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924249,32.858927,7.333333333333333
2_4_20,,"39.924325, 32.858774",1054/8,"Ataç 1. Sok., No:21, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924325,32.858774,7.333333333333333
2_4_21,,"39.924478, 32.858720",1054/21,"Ataç 1. Sok., No:19A, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.924478,32.85872,9.866666666666667
2_4_22,,"39.924650, 32.858523",1054/20,"Tuna Cad., No:26A, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.92465,32.858523,9.866666666666667
2_4_23,,"39.923924, 32.860014",1054/19,"Sağlık 1. Sok., No:40, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.923924,32.860014,8.6
2_4_24,,"39.924023, 32.859677",1054/18,"Sağlık 1. Sok., No:38, Fidanlık Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,2,39.924023,32.859677,8.6
2_4_25,,"39.924249, 32.859690",1054/17,"Sağlık 1. Sok., No:36, Fidanlık Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924249,32.85969,7.333333333333333
2_4_26,Maliye Bakanlığı Vergi Denetim Kurumu,"39.924388, 32.859565",1054/16,"Sağlık 1. Sok., No:34, Fidanlık Mah., Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,2,39.924388,32.859565,8.6
2_4_27,Maliye Bakanlığı Vergi Denetim Kurumu,"39.924478, 32.859304",1054/15,"Sağlık 1. Sok., No:32, Fidanlık Mah., Çankaya, Ankara",Devlet Dairesi,6.0,Değil,,,,,,2,39.924478,32.859304,8.6
2_4_28,,"39.924595, 32.859340",1054/25,"Sağlık 1. Sok., No:30, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924595,32.85934,7.333333333333333
2_4_29,,"39.924664, 32.859160",1054/24,"Sağlık 1. Sok., No:28, Fidanlık Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924664,32.85916,7.333333333333333
2_4_30,,"39.924823, 32.859035",1054/13,"Sağlık 1. Sok., No:26, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924823,32.859035,8.6
2_4_31,,"39.924934, 32.858900",1054/12,"Tuna Cad., No:32B, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.924934,32.8589,9.866666666666667
2_4_32,,"39.924893, 32.858846",1054/11,"Tuna Cad., No:30B, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.924893,32.858846,9.866666666666667
2_4_33,,"39.924775, 32.858684",1054/10,"Tuna Cad., No:28A, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924775,32.858684,8.6
2_5_1,,"39.924000, 32.860310",1055/2,"Sağlık 1. Sok., No:55C, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924,32.86031,7.333333333333333
2_5_2,,"39.924139, 32.860184",1055/3,"Sağlık 1. Sok., No:53A, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924139,32.860184,8.6
2_5_3,,"39.924235, 32.859978",1055/19,"Sağlık 1. Sok., No:51, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924235,32.859978,7.333333333333333
2_5_4,,"39.924353, 32.859870",1055/19,"Sağlık 1. Sok., No:49, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924353,32.85987,7.333333333333333
2_5_5,,"39.924561, 32.859771",1055/6,"Sağlık 1. Sok., No:47, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924561,32.859771,7.333333333333333
2_5_6,,"39.924609, 32.859627",1055/7,"Sağlık 1. Sok., No:45, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.924609,32.859627,7.333333333333333
2_5_7,,"39.924740, 32.859484",1055/8,"Sağlık 1. Sok., No:43B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.92474,32.859484,8.6
2_5_8,,"39.924844, 32.859394",1055/9,"Sağlık 1. Sok., No:41B, Fidanlık Mah., Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924844,32.859394,8.6
2_5_9,,"39.925148, 32.859205",1055/10,"Tuna Cad., No:34A, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.925148,32.859205,7.333333333333333
2_5_10,,"39.924159, 32.860445",1055/1,"Halk Sok., No:34A, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924159,32.860445,7.333333333333333
2_5_11,,"39.924284, 32.860454",1055/18,"Halk Sok., No:32, Çankaya, Ankara",Konut,6.0,Değil,,,,,,2,39.924284,32.860454,8.6
2_5_12,,"39.924395, 32.860166",1055/17,"Halk Sok., No:30C, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.924395,32.860166,9.866666666666667
2_5_13,,"39.924540, 32.860095",1055/16,"Halk Sok., No:28C, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.92454,32.860095,9.866666666666667
2_5_14,,"39.924664, 32.859969",1055/15,"Halk Sok., No:26, Çankaya, Ankara",Konut,4.0,Değil,,,,,,2,39.924664,32.859969,6.066666666666666
2_5_15,,"39.924789, 32.859969",1055/14,"Halk Sok., No:24, Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.924789,32.859969,7.333333333333333
2_5_16,,"39.924962, 32.859807",1055/13,"Halk Sok., No:22A, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924962,32.859807,8.6
2_5_17,,"39.925072, 32.859529",1055/12,"Halk Sok., No:20, Çankaya, Ankara",Konut,6.0,Değil,,,,,,2,39.925072,32.859529,8.6
2_5_18,,"39.925259, 32.859394",1055/11,"Tuna Cad., No:36, Çankaya, Ankara",Konut,4.0,Değil,,,,,,2,39.925259,32.859394,6.066666666666666
2_5_19,,"39.924886, 32.860283",1056/3,"Halk Sok., No:27A, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.924886,32.860283,8.6
2_5_20,,"39.925010, 32.860166",1056/4,"Halk Sok., No:25, Çankaya, Ankara",Konut + Ticaret,5.0,Değil,,,,,,2,39.92501,32.860166,7.333333333333333
2_5_21,,"39.925017, 32.859969",1056/5,"Halk Sok., No:23, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925017,32.859969,8.6
2_5_22,,"39.925142, 32.859852",1056/6,"Halk Sok., No:21, Çankaya, Ankara",Konut + Ticaret,6.0,Değil,,,,,,2,39.925142,32.859852,8.6
2_5_23,,"39.925259, 32.859744",1056/7,"Halk Sok., No:19, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925259,32.859744,9.866666666666667
2_5_24,,"39.925384, 32.859627",1056/8,"Halk Sok., No:17, Çankaya, Ankara",Konut + Ticaret,7.0,Değil,,,,,,2,39.925384,32.859627,9.866666666666667
2_5_25,,"39.924962, 32.860580",1056/13,"Marmara Sok., No:44, Sağlık Mah., Çankaya, Ankara",Konut,6.0,Değil,,,,,,2,39.924962,32.86058,8.6
2_5_26,,"39.925079, 32.860463",1056/12,"Marmara Sok., No:42, Sağlık Mah., Çankaya, Ankara",Konut,5.0,Değil,,,,,,2,39.925079,32.860463,7.333333333333333
